"","Amazon","AirBnB","Apple","Cisco","Dell","Etsy ","Facebook","Flickr","Google","Groupon","HP","Indiegogo","Ingram Micro","Instagram","Intel","LinkedIn","Microsoft","Netflix","Nvidia","Pandora","Pinterest","Salesforce","Slack","Tumblr","Twitter","Uber","Yahoo!","Yelp","YouTube","eBay"
"white",48,49.7,53.5,52.5,68.7,78.2,48.5,45.0,53,61.5,73,58,52,48.5,47.8,51,56,56.3,36.6,65,47.5,66.2,58.7,45,55.2,48.5,45,62,55,50
"asian",13,36.3,20.5,36.5,9.5,10,39.6,44,36,19.8,12,28,14,39.6,38.5,38.2,31,27.5,44.5,16,40.5,24.4,24.5,44,32.7,32.5,44,15,34.3,39
"latino",13,7.4,12.8,5,11.1,4,5,4,4,8,8.0,7,19.0,5,8.8,46,6.8,3,8,6,4,7,4,4.3,6.1,4,10,46
"black",21,3.4,9,4,10.5,3,3,2,3,8,4,4,14,3,4,44,4.6,1,5,3,2.5,4.8,2,4.3,8,2,6.0,2,3
"multi",0,2,5,3,1,0,4,3,2,4,0,2,0,1,3,0.2,2,2,0,13.8,5,2,2.6,4.5,2,3.4,4.2,2,5,41
"other",5,1,1,1,1,1,1,3,0,3,1,3,0,1,0.7,1,1,4.5,1,1,1,0.1,0.7,3,0,0.7,3,2,1,1
